430,424,304,287,545,506,138,105,445,409,57,34,-66,-87,2000,0
509,459,623,601,716,660,314,275,574,536,370,309,107,74,2000,0
2000,0,703,673,701,661,414,364,646,605,392,338,2000,0,2000,0
