"LETTER","LAYER","LL","LR","LM","LI","RI","RM","RR","RL","Total_Occurances"
"q","0","0","0","0","0","0","0","0","0","0"
"w","0","0","0","0","0","0","0","0","0","0"
"e","0","0","0","0","0","1","0","0","0","1"
"r","0","0","0","0","0","0","0","0","0","0"
"t","0","0","0","0","0","0","0","0","0","0"
"y","0","0","0","0","0","0","0","0","0","0"
"u","0","0","0","0","0","0","0","0","0","0"
"i","0","0","0","0","0","0","0","0","0","0"
"o","0","0","0","0","0","1","0","0","0","1"
"p","0","0","0","0","0","0","0","0","0","0"
"a","1","0","0","0","0","0","0","0","0","0"
"s","1","0","0","0","0","0","0","0","0","0"
"d","1","0","0","0","0","0","0","0","0","0"
"f","1","0","0","0","0","0","0","0","0","0"
"g","1","0","0","0","0","0","0","0","0","0"
"h","1","0","0","0","0","1","0","0","0","1"
"j","1","0","0","0","0","0","0","0","0","0"
"k","1","0","0","0","0","0","0","0","0","0"
"l","1","0","0","0","0","0","0","0","2","2"
"z","2","0","0","0","0","0","0","0","0","0"
"x","2","0","0","0","0","0","0","0","0","0"
"c","2","0","0","0","0","0","0","0","0","0"
"v","2","0","0","0","0","0","0","0","0","0"
"b","2","0","0","0","0","0","0","0","0","0"
"n","2","0","0","0","0","0","0","0","0","0"
"m","2","0","0","0","0","0","0","0","0","0"
