charge,5
desire,10
m,30
pity,17
round,4
age,4
grave,2
henry,1
any,23
gutenberg,31
project,15
change,8
whose,1
already,21
ear,1
foul,13
more,234
common,4
others,5
villain,24
dark,20
doubt,11
lear,1
moment,232
not,232
run,25
seek,25
born,6
having,45
next,10
that,231
themselves,1
wilt,76
kiss,5
take,230
as,229
bloody,6
syracuse,1
deep,6
looks,14
small,2
act,3
with,227
be,226
complete,5
feel,3
fell,11
general,4
pass,27
provided,4
such,150
trust,20
use,30
whole,2
antony,225
parts,4
shakespeare,1
so,225
called,2
comfort,14
dare,15
etext,2
time,82
works,5
charges,1
foot,1
may,223
messenger,19
copyright,5
library,7
benedictine,1
college,2
commercial,1
commercially,221
distribution,31
download,3
illinois,1
inc,1
includes,9
long,40
machine,1
maid,8
membership,1
only,77
permission,38
personal,32
prohibited,1
readable,10
service,7
used,1
version,5
world,5
worth,4
your,221
sit,29
company,6
lips,2
behind,19
ford,5
mina,11
rosalind,47
taken,4
lives,17
past,12
cry,31
mrs,1
going,7
london,1
ah,22
loves,4
sake,211
till,211
watch,31
were,211
always,6
arm,21
joy,7
proud,19
royal,8
sister,1
hot,108
macbeth,83
married,7
pray,208
beseech,20
herself,7
mouth,206
began,5
ne,23
pleasure,1
point,3
remember,43
tell,1
wear,14
antipholus,16
dog,53
either,1
most,204
person,2
become,11
ears,1
quite,16
speak,1
worthy,34
bound,7
like,2
marry,183
say,18
thus,202
c,26
gentleman,25
majesty,69
sorrow,8
touch,8
english,1
strength,4
window,2
duty,2
field,9
glad,4
john,5
along,4
four,20
uncle,45
edward,1
turned,197
above,28
sad,9
serve,3
case,1
city,1
draw,35
hearts,1
holy,1
neither,1
save,58
farewell,164
few,4
sort,1
em,192
lady,177
jonathan,1
kent,1
often,3
can,190
enemy,190
hang,58
hell,8
hours,2
mercy,13
note,1
queen,190
close,10
dr,1
eat,4
felt,1
sick,6
alas,59
arthur,1
french,1
highness,1
dromio,36
hate,5
however,1
because,124
brave,16
gracious,13
held,5
ho,29
seems,12
thyself,11
pale,9
richard,1
drink,10
marry,183
sons,5
twenty,7
virtue,16
wise,5
music,2
brutus,181
menenius,15
warwick,181
worse,11
hair,180
met,6
praise,5
citizen,2
goes,10
question,8
rich,12
straight,9
buckingham,80
edward,1
petruchio,38
prince,124
works,5
away,1
coriolanus,38
grow,6
lady,177
paper,1
professor,5
tree,4
understand,1
warrant,1
antonio,1
command,15
fault,176
fit,9
sense,1
suffolk,83
kept,4
write,20
asked,1
knave,174
mark,2
since,174
titus,56
tm,174
flesh,1
had,173
ii,4
gloucester,172
quick,15
bad,4
merry,1
pandarus,17
pretty,13
see,1
act,3
berowne,27
toby,37
walk,10
wonder,6
caesar,169
children,1
helena,1
large,3
letters,6
patience,5
appear,17
av,7
desdemona,63
knowledge,4
valentine,1
cressida,14
lead,1
longer,6
low,5
make,166
try,6
haste,9
living,3
terms,9
weep,7
wild,2
content,17
farewell,164
rom,1
ten,23
feet,163
parolles,12
proteus,58
report,6
shallow,50
soldiers,12
tender,2
their,3
year,3
ancient,7
five,25
looking,18
manner,161
several,3
able,2
dream,1
fine,11
lov,5
making,28
sin,3
troilus,91
wastralls,2
action,4
died,3
justice,32
laid,7
learn,7
least,159
order,1
stone,7
third,15
deed,158
different,1
harker,17
pay,7
wood,13
base,13
lucius,104
presently,16
should,157
sovereign,4
town,14
within,157
won,4
chance,2
among,31
ephesus,12
forward,3
pedro,155
romeo,1
servant,24
suit,1
after,154
aside,154
gentlemen,17
isabella,5
needs,5
table,154
hundred,1
palace,9
portia,32
soldier,5
brain,152
fast,7
fal,151
hector,71
moon,1
out,151
short,1
glass,3
iii,1
oath,150
promise,4
such,150
trouble,5
beat,118
book,1
office,1
valiant,7
e,148
en,148
must,1
quickly,20
spirits,2
force,4
green,16
peace,147
canst,26
mistress,46
didst,38
favour,145
second,10
soft,36
laugh,7
mr,1
patient,4
subject,1
sweet,144
whilst,74
clock,6
drawn,6
never,143
pistol,6
yield,15
bosom,1
bright,2
cassio,111
girl,142
loss,1
against,141
bold,5
ee,1
olivia,20
cassius,89
enobarbus,14
imogen,26
liege,1
plain,11
until,41
danger,2
leontes,11
terrible,4
towards,16
wars,2
orlando,1
speech,138
stands,22
begin,11
counsel,4
move,2
prithee,81
quiet,4
rose,8
ve,137
viola,5
wall,6
withal,6
angelo,86
confess,12
fresh,5
marriage,2
heavens,17
loving,2
presence,4
rage,2
sicinius,3
strike,38
sworn,1
oft,16
passion,2
sat,134
souls,5
bene,2
big,14
revenge,25
ship,1
yer,4
claudio,48
clear,2
deny,13
fashion,2
ourselves,7
prospero,13
silence,26
truly,50
weak,5
yea,61
de,5
lack,5
number,131
oh,52
piece,1
sing,17
slave,4
sudden,1
traitor,3
breast,130
chamber,7
roman,1
bastard,13
heat,4
lordship,4
love,1
seward,13
speaks,4
thanks,50
cried,9
deeds,128
dinner,4
gives,34
leaves,1
smile,8
horses,2
iv,1
speed,3
tale,1
battle,126
bertram,10
bodies,1
respect,1
slain,2
claud,125
greater,6
hero,2
margaret,1
noise,3
speed,3
because,124
being,124
colour,1
excellent,19
ha,112
meant,124
prince,124
bardolph,70
call,123
celia,3
conscience,3
doth,123
food,2
forget,6
knight,14
nurse,16
offer,4
simple,9
train,2
carry,8
doing,8
effect,2
mighty,3
woe,17
angry,1
behold,45
broke,3
great,121
deliver,22
enemies,120
guard,8
harm,2
issue,2
leon,1
pride,5
sebastian,20
sorry,6
sport,4
stand,120
struck,3
ways,120
attend,16
julia,1
neck,119
pompey,92
soldier,5
wait,10
banish,11
beat,118
duchess,5
glou,118
heads,118
mock,5
suffer,5
summer,118
win,6
worst,1
demetrius,49
jul,1
lucio,17
pain,117
pluck,23
twas,67
vile,2
whether,44
box,2
dangerous,3
ladies,17
moved,116
poor,116
wide,1
afraid,4
fetch,22
france,1
hamlet,4
hide,5
kingdom,2
wine,1
bless,24
broken,1
choose,6
friar,11
harry,1
natural,1
silver,1
below,1
bolingbroke,67
clarence,98
elizabeth,1
kings,1
lafeu,5
lest,76
princess,19
teeth,1
view,113
witness,20
armado,1
cross,15
dry,4
early,8
ha,112
health,12
passed,1
rosevear,112
seal,9
sometimes,20
substance,112
takes,21
worship,112
wouldst,19
alive,4
asleep,1
cassio,111
cast,10
countess,1
heir,2
lion,6
taste,5
throw,16
apemantus,23
awhile,1
bears,5
bitter,2
emilia,39
fortunes,1
match,1
possible,1
scene,55
signior,25
stop,13
anne,1
blind,3
electronic,109
feeling,2
figure,109
gates,109
hor,109
instant,109
judgment,7
measure,2
safe,7
sharp,5
walls,1
art,2
entreat,5
hot,108
kate,1
cymbeline,14
foolish,2
jest,107
particular,1
shape,107
top,107
buy,5
evans,1
hark,45
hurt,1
maria,1
mark,2
receive,17
study,5
suddenly,17
trees,106
v,3
everything,12
mortal,2
precious,1
ran,5
saying,6
scorn,4
tranio,34
account,1
cheeks,104
creature,104
lucius,104
page,51
stones,1
timon,104
tried,104
curse,3
fearful,103
fools,5
grant,12
paid,1
rise,13
title,4
woo,5
blow,10
bones,102
fill,7
first,102
forgot,3
honourable,2
katherina,9
native,4
poison,6
shadow,4
shows,9
shut,8
those,4
costard,6
fears,4
iron,1
nothing,1
opened,101
paris,1
saint,3
seat,101
throat,101
another,2
beyond,1
carried,2
chapter,8
feast,4
fortune,100
gate,2
grew,5
jim,1
monster,8
proof,2
quarrel,3
secret,1
toward,9
beard,99
dull,10
faults,1
golden,8
humour,99
metal,99
shake,11
thersites,26
unless,96
valour,2
warm,2
all,98
catch,2
clarence,98
clouds,3
due,5
easy,98
edg,1
flowers,1
fruit,1
hastings,51
jack,4
katharine,11
mine,98
motion,1
old,41
pains,98
public,1
safety,1
teach,13
troy,1
wisdom,5
burn,9
dust,97
glory,2
growing,1
loved,97
malvolio,33
offence,2
ours,3
posthumus,32
re,97
taking,13
tent,1
th,97
without,97
chair,96
coffin,96
consent,6
double,7
drew,5
earl,14
emperor,5
fled,6
foundation,4
grows,5
labour,1
led,1
northumberland,56
occasion,1
pure,1
remain,8
salisbury,50
under,7
unless,96
welcome,96
writ,6
anon,33
birth,95
empty,2
flourish,48
former,95
memory,1
moth,6
ta,2
vow,2
william,1
winter,2
falstaff,94
followed,3
hearing,11
into,94
masters,17
perceive,1
rough,7
supper,1
troth,8
twere,30
ulysses,20
virtuous,3
afterwards,93
army,3
ass,1
beautiful,1
beg,1
calls,6
castle,67
cheek,93
dost,93
indeed,93
italy,1
opinion,3
prison,3
r,8
salt,2
wolsey,8
countries,92
folly,1
pompey,92
provost,3
rain,1
thinking,6
various,2
wounds,4
aguecheek,2
answered,91
awake,16
blue,3
evil,2
faith,91
grey,20
hear,91
join,10
know,91
perhaps,31
speaking,6
spoken,1
stay,91
steel,1
talbot,81
troilus,91
wound,3
became,6
blessed,9
both,29
cloten,20
drop,4
god,90
grown,2
honesty,1
judge,9
lucentio,41
prepared,90
prisoner,1
shook,2
shylock,20
story,1
thence,6
think,90
tomb,90
trumpet,1
wanted,90
whom,90
boyet,12
cardinal,10
cassius,89
cheer,3
courage,11
doctor,28
following,5
godalming,89
hold,89
iachimo,7
iago,89
plague,6
prayers,89
purse,1
road,2
search,8
weary,5
written,1
achilles,79
advantage,2
claim,88
easily,88
escalus,10
feed,8
fool,14
hortensio,30
jove,88
kitchen,88
placed,1
places,1
sign,2
stir,6
street,1
adriana,4
affairs,2
antonio,1
brief,7
drum,26
fail,2
third,15
thither,12
wits,87
angelo,86
ay,86
blame,1
boys,3
captain,36
coward,2
cunning,4
fancy,2
fie,68
nose,1
passage,86
pol,86
seeing,16
senator,1
snow,1
spent,2
tear,8
vain,2
aid,85
baptista,33
bassanio,42
borne,3
cominius,19
dreadful,85
gainst,16
greatest,85
laws,3
legs,85
margaret,1
proper,4
quickly,20
sleeping,6
thin,2
touchstone,3
treason,8
wake,5
burning,1
diomedes,3
edge,1
fat,2
freely,3
key,84
march,2
marcus,1
moor,1
quincey,1
tongues,2
bearing,10
camillo,43
captain,36
choice,83
condition,3
doors,2
egypt,1
faint,2
finger,2
flies,2
lover,1
macbeth,83
marcius,60
methinks,69
nurse,16
perform,5
powers,3
quality,83
suffolk,83
thick,2
wert,13
appears,1
clothes,82
drown,6
fact,82
knees,82
loud,3
norfolk,1
obey,8
received,82
rock,5
sheep,4
silent,82
spend,1
steal,6
time,82
twice,10
affection,5
beast,1
except,4
excuse,7
falls,14
humble,81
keeps,7
line,81
lords,56
meat,81
nay,81
prithee,81
purposes,81
rude,3
smell,1
spite,81
stars,5
suppose,8
talbot,81
visit,5
writing,1
approach,13
aught,80
bark,1
buckingham,80
caius,53
camp,4
deal,1
dispatch,16
dreams,1
ere,80
fare,59
hadst,21
heaven,1
knife,80
liberty,2
macduff,30
request,80
romans,80
satisfied,80
still,80
stuff,1
voices,80
weight,1
while,80
abroad,1
achilles,79
across,2
brow,79
charmian,25
cruel,1
damn,7
edm,79
endure,3
faces,79
fellows,5
gratiano,21
holds,9
jew,79
notice,2
ones,79
owe,1
possess,9
post,5
princes,1
rogue,2
somerset,1
tide,1
athens,1
bow,5
copy,78
could,78
fingers,78
fury,4
get,78
greatness,78
guilty,2
heels,78
pisanio,26
six,7
sounds,3
states,2
two,12
wealth,78
agreement,4
belarius,5
bent,1
besides,72
bit,1
bond,1
christian,1
don,4
flow,3
fluellen,12
happiness,2
hardly,4
interest,1
liv,77
madness,2
meaning,5
mere,3
morris,1
only,77
sirrah,71
slept,1
spring,1
task,77
wash,6
whence,28
wherefore,65
amongst,12
ariel,17
bring,76
caught,76
dies,31
ease,76
goodly,2
lest,76
princely,2
sigh,2
sky,1
swift,3
threw,4
wilt,76
beggar,4
church,28
clifford,64
dread,3
