"LAYER","LETTER","LL","LR","LM","LI","RI","RM","RR","RL","Total_Occurances"
"0","q","0","11","0","0","0","0","0","0","11"
"0","w","0","12","0","0","0","0","0","0","12"
"0","e","0","0","33","0","0","0","0","0","33"
"0","r","0","0","1","19","0","0","0","0","20"
"0","t","0","0","0","22","0","0","0","0","22"
"0","y","0","0","0","0","14","0","0","0","14"
"0","u","0","0","0","0","11","5","0","0","16"
"0","i","0","0","0","0","1","29","0","0","30"
"0","o","0","0","0","0","0","10","25","0","35"
"0","p","0","0","0","0","0","0","14","0","14"
"1","a","28","6","0","0","0","0","0","0","34"
"1","s","0","25","0","0","0","0","1","0","26"
"1","d","0","0","11","1","0","0","0","0","12"
"1","f","0","0","0","9","0","0","0","0","9"
"1","g","0","0","0","11","0","0","0","0","11"
"1","h","0","0","0","0","16","0","0","0","16"
"1","j","0","0","0","0","18","0","0","0","18"
"1","k","0","1","0","0","0","8","1","0","10"
"1","l","0","0","0","0","0","0","15","0","15"
"2","z","5","6","0","0","0","0","0","0","11"
"2","x","0","9","2","0","0","0","0","0","11"
"2","c","0","0","4","12","0","0","0","0","16"
"2","v","0","0","0","9","0","0","0","0","9"
"2","b","0","0","0","0","11","0","0","0","11"
"2","n","0","0","0","0","24","1","0","0","25"
"2","m","0","0","0","0","0","15","0","0","15"
